code	used	1	2	3	4
1	1	desire	relaxation	anger	sadness
2	1	desire	relaxation	sadness	anger
3	1	desire	anger	relaxation	sadness
4	1	desire	anger	sadness	relaxation
5	1	desire	sadness	relaxation	anger
6	1	desire	sadness	anger	relaxation
7	1	relaxation	desire	anger	sadness
8	1	relaxation	desire	sadness	anger
9	1	relaxation	anger	desire	sadness
10	1	relaxation	anger	sadness	desire
11	0	relaxation	sadness	desire	anger
12	0	relaxation	sadness	anger	desire
13	0	anger	desire	relaxation	sadness
14	0	anger	desire	sadness	relaxation
15	0	anger	relaxation	desire	sadness
16	0	anger	relaxation	sadness	desire
17	0	anger	sadness	desire	relaxation
18	0	anger	sadness	relaxation	desire
19	0	sadness	desire	relaxation	anger
20	0	sadness	desire	anger	relaxation
21	0	sadness	relaxation	desire	anger
22	0	sadness	relaxation	anger	desire
23	0	sadness	anger	desire	relaxation
24	0	sadness	anger	relaxation	desire
