code	used	0	1	2	3	4
1	1	none	desire	relaxation	anger	sadness
2	1	none	desire	relaxation	sadness	anger
3	1	none	desire	anger	relaxation	sadness
4	0	none	desire	anger	sadness	relaxation
5	0	none	desire	sadness	relaxation	anger
6	1	none	desire	sadness	anger	relaxation
7	0	none	relaxation	desire	anger	sadness
8	0	none	relaxation	desire	sadness	anger
9	0	none	relaxation	anger	desire	sadness
10	0	none	relaxation	anger	sadness	desire
11	0	none	relaxation	sadness	desire	anger
12	0	none	relaxation	sadness	anger	desire
13	0	none	anger	desire	relaxation	sadness
14	1	none	anger	desire	sadness	relaxation
15	1	none	anger	relaxation	desire	sadness
16	0	none	anger	relaxation	sadness	desire
17	0	none	anger	sadness	desire	relaxation
18	0	none	anger	sadness	relaxation	desire
19	0	none	sadness	desire	relaxation	anger
20	0	none	sadness	desire	anger	relaxation
21	0	none	sadness	relaxation	desire	anger
22	0	none	sadness	relaxation	anger	desire
23	0	none	sadness	anger	desire	relaxation
24	0	none	sadness	anger	relaxation	desire
